Original	Obfused	Corrected
are	are	are
,	,	,
Sydney	Sydney	_UNK
.	.	.
Fire	Fire	notes
away	away	away
!	!	!
""""	""""	""""
The	The	The
lion	lion	_UNK
then	then	then
composed	composed	composed
himself	himself	himself
on	on	on
his	his	his
back	back	back
on	on	on
a	the	a
sofa	sofa	sofa
on	on	on
one	one	one
side	side	side
of	of	of
the	the	the
drinking-table	drinking-table	_UNK
,	,	,
while	while	while
the	the	the
jackal	jackal	_UNK
sat	sat	sat
at	at	at
his	his	his
own	own	own
paper-bestrewn	paper-bestrewn	_UNK
table	table	table
proper	proper	proper
,	,	,
on	on	on
the	the	the
other	other	other
side	side	side
of	of	of
it	it	it
,	,	,
with	with	with
the	the	the
bottles	bottles	bottles
and	and	and
glasses	glasses	glasses
ready	ready	ready
to	to	to
his	his	his
hand	hand	hand
.	.	.
Both	Both	principal
resorted	resorted	magnificent
to	to	to
the	the	the
drinking-table	drinking-table	_UNK
without	without	without
stint	stint	_UNK
,	,	,
but	but	but
each	each	each
in	in	in
a	the	a
different	different	different
way	way	way
;	;	;
the	the	the
lion	lion	_UNK
for	for	for
the	a	the
most	most	most
part	part	part
reclining	reclining	reclining
with	with	with
his	his	his
hands	hands	hands
in	in	in
his	his	his
waistband	waistband	_UNK
,	,	,
looking	looking	looking
at	at	at
the	the	the
fire	fire	fire
,	,	,
or	or	or
occasionally	occasionally	occasionally
flirting	flirting	_UNK
with	with	with
some	some	some
lighter	lighter	lighter
document	document	document
;	;	;
the	the	the
jackal	jackal	_UNK
,	,	,
with	with	with
knitted	knitted	_UNK
brows	brows	brows
and	and	and
intent	intent	intent
face	face	face
,	,	,
so	so	so
deep	deep	deep
in	in	in
his	his	his
task	task	task
,	,	,
that	that	that
his	his	his
eyes	eyes	eyes
did	did	did
not	not	not
even	even	even
follow	follow	follow
the	the	the
hand	hand	hand
he	he	he
stretched	stretched	stretched
out	out	out
for	for	for
his	his	his
glass--which	glass--which	_UNK
often	often	often
groped	groped	groped
about	about	about
,	,	,
for	for	for
a	a	a
minute	minute	minute
or	or	or
more	more	more
,	,	,
before	before	before
it	it	it
found	found	found
the	a	the
glass	glass	glass
for	for	for
his	his	his
lips	lips	lips
.	.	.
Two	Two	Two
or	or	or
three	three	three
times	times	times
,	,	,
the	the	the
matter	matter	matter
in	in	in
hand	hand	hand
became	became	became
so	so	so
knotty	knotty	_UNK
,	,	,
that	that	that
the	the	the
jackal	jackal	_UNK
found	found	found
it	it	it
imperative	imperative	_UNK
on	on	on
him	him	him
to	to	to
get	get	get
up	up	up
,	,	,
and	and	and
steep	steep	steep
his	his	his
towels	towels	_UNK
anew	anew	.
.	.	.
From	From	From
these	these	these
pilgrimages	pilgrimages	pilgrimages
to	to	to
the	the	a
jug	jug	jug
and	and	and
basin	basin	basin
,	,	,
he	he	he
returned	returned	returned
with	with	with
such	such	such
eccentricities	eccentricities	_UNK
of	of	of
damp	damp	damp
headgear	headgear	_UNK
as	as	as
no	no	no
words	words	words
can	can	can
describe	describe	describe
;	;	;
which	which	which
were	were	were
made	made	made
the	the	the
more	more	more
ludicrous	ludicrous	ludicrous
by	by	by
his	his	his
anxious	anxious	anxious
gravity	gravity	gravity
.	.	.
At	At	At
length	length	length
the	the	the
jackal	jackal	_UNK
had	had	had
got	got	got
together	together	together
a	a	the
compact	compact	,
repast	repast	_UNK
for	for	for
the	the	the
lion	lion	_UNK
,	,	,
and	and	and
proceeded	proceeded	proceeded
to	to	to
offer	offer	offer
it	it	it
to	to	to
him	him	him
.	.	.
The	The	The
lion	lion	_UNK
took	took	took
it	it	it
with	with	with
care	care	care
and	and	and
caution	caution	caution
,	,	,
made	made	made
his	his	his
selections	selections	_UNK
from	from	from
it	it	it
,	,	,
and	and	and
his	his	his
remarks	remarks	remarks
upon	upon	upon
it	it	it
,	,	,
and	and	and
the	the	the
jackal	jackal	_UNK
assisted	assisted	assisted
both	both	both
.	.	.
When	When	When
the	the	the
repast	repast	_UNK
was	was	was
fully	fully	fully
discussed	discussed	_UNK
,	,	,
the	the	the
lion	lion	_UNK
put	put	put
his	his	his
hands	hands	hands
in	in	in
his	his	his
waistband	waistband	_UNK
again	again	again
,	,	,
and	and	and
lay	lay	lay
down	down	down
to	to	to
meditate	meditate	_UNK
.	.	.
The	The	The
jackal	jackal	_UNK
then	then	then
invigorated	invigorated	_UNK
himself	himself	himself
with	with	with
a	a	the
bumper	bumper	_UNK
for	for	for
his	his	his
throttle	throttle	throttle
,	,	,
and	and	and
a	the	the
fresh	fresh	fresh
application	application	application
to	to	to
his	his	his
head	head	head
,	,	,
and	and	and
applied	applied	applied
himself	himself	himself
to	to	to
the	the	the
collection	collection	collection
of	of	of
a	a	a
second	second	second
meal	meal	meal
;	;	;
this	this	this
was	was	was
administered	administered	administered
to	to	to
the	a	the
lion	lion	_UNK
in	in	in
the	the	the
same	same	same
manner	manner	manner
,	,	,
and	and	and
was	was	was
not	not	not
disposed	disposed	disposed
of	of	of
until	until	until
the	a	the
clocks	clocks	'
struck	struck	struck
three	three	three
in	in	in
the	the	the
morning	morning	morning
.	.	.
""""	""""	""""
And	And	And
now	now	now
we	we	we
have	have	have
done	done	done
,	,	,
Sydney	Sydney	_UNK
,	,	,
fill	fill	fill
a	a	the
bumper	bumper	_UNK
of	of	of
punch	punch	_UNK
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
.	.	.
The	The	The
jackal	jackal	_UNK
removed	removed	removed
the	a	a
towels	towels	_UNK
from	from	from
his	his	his
head	head	head
,	,	,
which	which	which
had	had	had
been	been	been
steaming	steaming	,
again	again	again
,	,	,
shook	shook	shook
himself	himself	himself
,	,	,
yawned	yawned	yawned
,	,	,
shivered	shivered	shivered
,	,	,
and	and	and
complied	complied	complied
.	.	.
""""	""""	""""
You	You	You
were	were	were
very	very	very
sound	sound	sound
,	,	,
Sydney	Sydney	_UNK
,	,	,
in	in	in
the	the	a
matter	matter	matter
of	of	of
those	those	those
crown	crown	crown
witnesses	witnesses	witnesses
to-day	to-day	to-day
.	.	.
Every	Every	Every
question	question	question
told	told	told
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
always	always	always
am	am	am
sound	sound	sound
;	;	;
am	am	am
I	I	I
not	not	not
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
don	don	don
'	'	'
t	t	t
gainsay	gainsay	_UNK
it	it	it
.	.	.
What	What	What
has	has	has
roughened	roughened	_UNK
your	your	your
temper	temper	temper
?	?	?
Put	Put	Put
some	some	some
punch	punch	_UNK
to	to	to
it	it	it
and	and	and
smooth	smooth	_UNK
it	it	it
again	again	again
.	.	.
""""	""""	""""
With	With	With
a	the	a
deprecatory	deprecatory	_UNK
grunt	grunt	grunt
,	,	,
the	the	the
jackal	jackal	_UNK
again	again	again
complied	complied	complied
.	.	.
""""	""""	""""
The	The	The
old	old	old
Sydney	Sydney	_UNK
Carton	Carton	_UNK
of	of	of
old	old	old
Shrewsbury	Shrewsbury	_UNK
School	School	_UNK
,	,	,
""""	""""	""""
said	said	said
Stryver	Stryver	_UNK
,	,	,
nodding	nodding	nodding
his	his	his
head	head	head
over	over	over
him	him	him
as	as	as
he	he	he
reviewed	reviewed	_UNK
him	him	him
in	in	in
the	the	the
present	present	present
and	and	and
the	a	the
past	past	past
,	,	,
""""	""""	""""
the	the	the
old	old	old
seesaw	seesaw	_UNK
Sydney	Sydney	_UNK
.	.	.
Up	Up	notes
one	one	one
minute	minute	minute
and	and	and
down	down	down
the	the	the
next	next	next
;	;	;
now	now	now
in	in	in
spirits	spirits	spirits
and	and	and
now	now	now
in	in	in
despondency	despondency	the
!	!	!
""""	""""	""""
""""	""""	""""
Ah	Ah	Ah
!	!	!
""""	""""	""""
returned	returned	returned
the	the	the
other	other	other
,	,	,
sighing	sighing	_UNK
:	:	:
""""	""""	""""
yes	yes	yes
!	!	!
The	A	A
same	same	same
Sydney	Sydney	_UNK
,	,	,
with	with	with
the	the	the
same	same	same
luck	luck	luck
.	.	.
Even	Even	killed
then	then	then
,	,	,
I	I	I
did	did	did
exercises	exercises	exercises
for	for	for
other	other	other
boys	boys	boys
,	,	,
and	and	and
seldom	seldom	seldom
did	did	did
my	my	my
own	own	own
.	.	.
""""	""""	""""
""""	""""	""""
And	And	And
why	why	why
not	not	not
?	?	?
""""	""""	""""
""""	""""	""""
God	God	God
knows	knows	knows
.	.	.
It	It	It
was	was	was
my	my	my
way	way	way
,	,	,
I	I	I
suppose	suppose	suppose
.	.	.
""""	""""	""""
He	He	He
sat	sat	sat
,	,	,
with	with	with
his	his	his
hands	hands	hands
in	in	in
his	his	his
pockets	pockets	pockets
and	and	and
his	his	his
legs	legs	legs
stretched	stretched	stretched
out	out	out
before	before	before
him	him	him
,	,	,
looking	looking	looking
at	at	at
the	the	the
fire	fire	fire
.	.	.
""""	""""	""""
Carton	Carton	_UNK
,	,	,
""""	""""	""""
said	said	said
his	his	his
friend	friend	friend
,	,	,
squaring	squaring	_UNK
himself	himself	himself
at	at	at
him	him	him
with	with	with
a	a	a
bullying	bullying	bullying
air	air	air
,	,	,
as	as	as
if	if	if
the	the	the
fire-grate	fire-grate	_UNK
had	had	had
been	been	been
the	a	the
furnace	furnace	_UNK
in	in	in
which	which	which
sustained	sustained	sustained
endeavour	endeavour	endeavour
was	was	was
forged	forged	courts
,	,	,
and	and	and
the	the	the
one	one	one
delicate	delicate	delicate
thing	thing	thing
to	to	to
be	be	be
done	done	done
for	for	for
the	the	the
old	old	old
Sydney	Sydney	_UNK
Carton	Carton	_UNK
of	of	of
old	old	old
Shrewsbury	Shrewsbury	_UNK
School	School	_UNK
was	was	was
to	to	to
shoulder	shoulder	shoulder
him	him	him
into	into	into
it	it	it
,	,	,
""""	""""	""""
your	your	your
way	way	way
is	is	is
,	,	,
and	and	and
always	always	always
was	was	was
,	,	,
a	the	the
lame	lame	lame
way	way	way
.	.	.
You	You	You
summon	summon	summon
no	no	no
energy	energy	energy
and	and	and
purpose	purpose	purpose
.	.	.
Look	Look	Look
at	at	at
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
Oh	Oh	Oh
,	,	,
botheration	botheration	_UNK
!	!	!
""""	""""	""""
returned	returned	returned
Sydney	Sydney	_UNK
,	,	,
with	with	with
a	a	a
lighter	lighter	lighter
and	and	and
more	more	more
good-humoured	good-humoured	good-humoured
laugh	laugh	laugh
,	,	,
""""	""""	""""
don	don	don
'	'	'
t	t	t
_you_	_you_	_you_
be	be	be
moral	moral	moral
!	!	!
""""	""""	""""
""""	""""	""""
How	How	How
have	have	have
I	I	I
done	done	done
what	what	what
I	I	I
have	have	have
done	done	done
?	?	?
""""	""""	""""
said	said	said
Stryver	Stryver	_UNK
;	;	;
""""	""""	""""
how	how	how
do	do	do
I	I	I
do	do	do
what	what	what
I	I	I
do	do	do
?	?	?
""""	""""	""""
""""	""""	""""
Partly	Partly	_UNK
through	through	through
paying	paying	paying
me	me	me
to	to	to
help	help	help
you	you	you
,	,	,
I	I	I
suppose	suppose	suppose
.	.	.
But	But	But
it	it	it
'	'	'
s	s	s
not	not	not
worth	worth	worth
your	your	your
while	while	while
to	to	to
apostrophise	apostrophise	_UNK
me	me	me
,	,	,
or	or	or
the	the	the
air	air	air
,	,	,
about	about	about
it	it	it
;	;	;
what	what	what
you	you	you
want	want	want
to	to	to
do	do	do
,	,	,
you	you	you
do	do	do
.	.	.
You	You	You
were	were	were
always	always	always
in	in	in
the	the	the
front	front	front
rank	rank	rank
,	,	,
and	and	and
I	I	I
was	was	was
always	always	always
behind	behind	behind
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
had	had	had
to	to	to
get	get	get
into	into	into
the	the	the
front	front	front
rank	rank	rank
;	;	;
I	I	I
was	was	was
not	not	not
born	born	born
there	there	there
,	,	,
was	was	was
I	I	I
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
was	was	was
not	not	not
present	present	present
at	at	at
the	the	the
ceremony	ceremony	ceremony
;	;	;
but	but	but
my	my	my
opinion	opinion	opinion
is	is	is
you	you	you
were	were	were
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
.	.	.
At	At	At
this	this	this
,	,	,
he	he	he
laughed	laughed	laughed
again	again	again
,	,	,
and	and	and
they	they	they
both	both	both
laughed	laughed	laughed
.	.	.
""""	""""	""""
Before	Before	Before
Shrewsbury	Shrewsbury	_UNK
,	,	,
and	and	and
at	at	at
Shrewsbury	Shrewsbury	_UNK
,	,	,
and	and	and
ever	ever	ever
since	since	since
Shrewsbury	Shrewsbury	_UNK
,	,	,
""""	""""	""""
pursued	pursued	pursued
Carton	Carton	_UNK
,	,	,
""""	""""	""""
you	you	you
have	have	have
fallen	fallen	fallen
into	into	into
your	your	your
rank	rank	rank
,	,	,
and	and	and
I	I	I
have	have	have
fallen	fallen	fallen
into	into	into
mine	mine	mine
.	.	.
Even	Even	Even
when	when	when
we	we	we
were	were	were
fellow-students	fellow-students	_UNK
in	in	in
the	the	the
Student-Quarter	Student-Quarter	_UNK
of	of	of
Paris	Paris	'
,	,	,
picking	picking	picking
up	up	up
French	French	French
,	,	,
and	and	and
French	French	French
law	law	law
,	,	,
and	and	and
other	other	other
French	French	French
crumbs	crumbs	crumbs
that	that	that
we	we	we
didn	didn	didn
'	'	'
t	t	t
get	get	get
much	much	much
good	good	good
of	of	of
,	,	,
you	you	you
were	were	were
always	always	always
somewhere	somewhere	somewhere
,	,	,
and	and	and
I	I	I
was	was	was
always	always	always
nowhere	nowhere	nowhere
.	.	.
""""	""""	""""
""""	""""	""""
And	And	And
whose	whose	whose
fault	fault	fault
was	was	was
that	that	that
?	?	?
""""	""""	""""
""""	""""	""""
Upon	Upon	Upon
my	my	my
soul	soul	soul
,	,	,
I	I	I
am	am	am
not	not	not
sure	sure	sure
that	that	that
it	it	it
was	was	was
not	not	not
yours	yours	yours
.	.	.
You	You	You
were	were	were
always	always	always
driving	driving	driving
and	and	and
riving	riving	_UNK
and	and	and
shouldering	shouldering	_UNK
and	and	and
passing	passing	passing
,	,	,
to	to	to
that	that	that
restless	restless	restless
degree	degree	degree
that	that	that
I	I	I
had	had	had
no	no	no
chance	chance	chance
for	for	for
my	my	my
life	life	life
but	but	but
in	in	in
rust	rust	rust
and	and	and
repose	repose	repose
.	.	.
It	It	It
'	'	'
s	s	s
a	a	a
gloomy	gloomy	gloomy
thing	thing	thing
,	,	,
however	however	however
,	,	,
to	to	to
talk	talk	talk
about	about	about
one	one	one
'	'	'
s	s	s
own	own	own
past	past	past
,	,	,
with	with	with
the	the	a
day	day	day
breaking	breaking	breaking
.	.	.
Turn	Turn	cheerless
me	me	me
in	in	in
some	some	some
other	other	other
direction	direction	direction
before	before	before
I	I	I
go	go	go
.	.	.
""""	""""	""""
""""	""""	""""
Well	Well	Well
then	then	then
!	!	!
Pledge	Pledge	_UNK
me	me	me
to	to	to
the	the	the
pretty	pretty	pretty
witness	witness	witness
,	,	,
""""	""""	""""
said	said	said
Stryver	Stryver	_UNK
,	,	,
holding	holding	holding
up	up	up
his	his	his
glass	glass	glass
.	.	.
""""	""""	""""
Are	Are	Are
you	you	you
turned	turned	turned
in	in	in
a	the	a
pleasant	pleasant	pleasant
direction	direction	direction
?	?	?
""""	""""	""""
Apparently	Apparently	Apparently
not	not	not
,	,	,
for	for	for
he	he	he
became	became	became
gloomy	gloomy	gloomy
again	again	again
.	.	.
""""	""""	""""
Pretty	Pretty	Pretty
witness	witness	witness
,	,	,
""""	""""	""""
he	he	he
muttered	muttered	muttered
,	,	,
looking	looking	looking
down	down	down
into	into	into
his	his	his
glass	glass	glass
.	.	.
""""	""""	""""
I	I	I
have	have	have
had	had	had
enough	enough	enough
of	of	of
witnesses	witnesses	witnesses
to-day	to-day	to-day
and	and	and
to-night	to-night	to-night
;	;	;
who	who	who
'	'	'
s	s	s
your	your	your
pretty	pretty	pretty
witness	witness	witness
?	?	?
""""	""""	""""
""""	""""	""""
The	The	The
picturesque	picturesque	_UNK
doctor	doctor	doctor
'	'	'
s	s	s
daughter	daughter	daughter
,	,	,
Miss	Miss	Miss
Manette	Manette	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
_She_	_She_	_UNK
pretty	pretty	pretty
?	?	?
""""	""""	""""
""""	""""	""""
Is	Is	Is
she	she	she
not	not	not
?	?	?
""""	""""	""""
""""	""""	""""
No	No	No
.	.	.
""""	""""	""""
""""	""""	""""
Why	Why	Why
,	,	,
man	man	man
alive	alive	alive
,	,	,
she	she	she
was	was	was
the	the	the
admiration	admiration	admiration
of	of	of
the	the	the
whole	whole	whole
Court	Court	_UNK
!	!	!
""""	""""	""""
""""	""""	""""
Rot	Rot	Rot
the	the	the
admiration	admiration	admiration
of	of	of
the	the	the
whole	whole	whole
Court	Court	_UNK
!	!	!
Who	Who	Who
made	made	made
the	the	a
Old	Old	Old
Bailey	Bailey	Bailey
a	the	the
judge	judge	judge
of	of	of
beauty	beauty	beauty
?	?	?
She	She	She
was	was	was
a	a	the
golden-haired	golden-haired	_UNK
doll	doll	_UNK
!	!	!
""""	""""	""""
""""	""""	""""
Do	Do	Do
you	you	you
know	know	know
,	,	,
Sydney	Sydney	_UNK
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
,	,	,
looking	looking	looking
at	at	at
him	him	him
with	with	with
sharp	sharp	sharp
eyes	eyes	eyes
,	,	,
and	and	and
slowly	slowly	slowly
drawing	drawing	drawing
a	a	a
hand	hand	hand
across	across	across
his	his	his
florid	florid	_UNK
face	face	face
:	:	:
""""	""""	""""
do	do	do
you	you	you
know	know	know
,	,	,
I	I	I
rather	rather	rather
thought	thought	thought
,	,	,
at	at	at
the	the	the
time	time	time
,	,	,
that	that	that
you	you	you
sympathised	sympathised	_UNK
with	with	with
the	the	the
golden-haired	golden-haired	_UNK
doll	doll	_UNK
,	,	,
and	and	and
were	were	were
quick	quick	quick
to	to	to
see	see	see
what	what	what
happened	happened	happened
to	to	to
the	a	the
golden-haired	golden-haired	_UNK
doll	doll	_UNK
?	?	?
""""	""""	""""
""""	""""	""""
